馬匹,日期,場,班次,路程,場地,分,配備,磅,排位重,騎,練,檔,走位,名,距離,時間,冠,亚,季,頭馬,賠
勇威神駒,11/20/24,201,3 80-60,谷夜 C3 1200,好黏,66,T,126,1137,麥,沈,1,- 8 7,3,1,1.10.34,得道猴王,伊臣,▲,1.10.17,5.5
精算暴雪,11/20/24,200,2 100-80,谷夜 C3 1200,好黏,88,P,124,1091,潘,蔡,4,- 11 10,3,1 1/4,1.09.64,美麗奔馳,傑出漢子,▲,1.09.43,2.2
浪漫老撾,11/20/24,199,3 80-60,谷夜 C3 1650,好黏,72,SW2T,129,1152,梁,巫,2,8 8 8,3,1 1/4,1.39.80,開心勇駒,勁好運,▲,1.39.62,16
辣得駕勢,11/20/24,198,4 60-40,谷夜 C3 1200,好黏,43,VT,121,1120,紹,巫,5,- 2 1,3,2,1.10.17,怡昌精神,電訊龍駒,▲,1.09.87,10
辣得金,11/20/24,197,4 60-40,谷夜 C3 1200,好黏,43,T,120,1051,弘,伍,3,- 1 1,3,1 3/4,1.10.10,勇霸龍,綠族威,▲,1.09.81,7.5
君智盛,11/20/24,196,4 60-40,谷夜 C3 1650,好黏,55,SWT,133,1101,明,姚,4,3 3 3,3,1,1.40.57,爆笑,魔法速遞,▲,1.40.41,10
合金皇,11/20/24,195,5 40-0,谷夜 C3 1200,好黏,25,B,120,1111,年,丁,5,- 1 1,3,1/2,1.10.37,超勁火力,三代同心,▲,1.10.27,30
紅海勁,11/20/24,194,4 60-40,谷夜 C3 1650,好黏,54,T,131,1137,澤,文,10,12 12 10,3,1 1/4,1.39.85,先到先得,瀧澤飛駒,▲,1.39.67,11
利衍天下,11/20/24,193,5 40-0,谷夜 C3 1650,好黏,40,T,135,1109,布,黎,12,12 12 11,3,1 3/4,1.40.80,馬特峰,聰明導彈,▲,1.40.50,38
健康快車,11/17/24,192,3 80-60,田日 B 1200,好地,61,E,116,1127,度,蔡,14,- 14 14,3,1/2,1.08.92,競駿先鋒,樂勝天下,▲,1.08.81,16
玩笑,11/17/24,191,3 80-60,田日 B 1400,好地,76,,134,1178,潘,伍,14,2 2 2,3,3/4,1.21.80,銀亮奔騰,同樣美麗,▲,1.21.66,9.3
觔斗雲,11/17/24,190,G2,田日 B 2000,好地,108,VT,123,1132,周,姚,4,8 8 6,3,4 1/2,2.00.40,浪漫勇士,嘉應傳承,▲,1.59.70,68
錶之銀河,11/17/24,189,G2,田日 B 1600,好地,124,,123,1148,澤,伍,5,8 6 5,3,2,1.33.13,遨遊氣泡,禪勝輝煌,▲,1.32.82,1.7
驕陽明駒,11/17/24,188,G2,田日 B 1200,好地,107,,123,1126,布,蔡,6,- 9 8,3,3 1/4,1.07.96,嘉應高昇,嫡愛心,▲,1.07.43,14
金陽飛駒,11/17/24,187,3 80-60,田日 B 2000,好地,62,B,117,1114,田,賀,3,3 3 3,3,1/2,2.01.55,愛心神駒,共享富裕,▲,2.01.46,10
連連有盈,11/17/24,186,3 80-60,田日 B 1000,好地,62,T,115,1215,明,東,5,- 5 7,3,5,0.56.62,舉步生風,英雄豪邁,▲,0.55.83,22
奔妙星,11/17/24,185,4 60-40,田日 B 1400,好地,53,,129,1241,布,希,8,4 4 3,3,2 1/2,1.22.01,但求開心,開心樂園,▲,1.21.63,6.8
大利好運,11/17/24,184,4 60-40,田日 B 1200,好地,49,BET,125,1073,艾,蔡,1,- 7 8,3,3,1.09.43,喵喵怪,多彩多姿,▲,1.08.94,4.6
極速贏,11/17/24,183,4 60-40,田日 B 1400,好地,59,SW1H1,134,1191,麥,容,5,11 11 9,3,1/2,1.21.93,愛意龍,超風速,▲,1.21.84,4.5
勤德俱備,11/17/24,182,4 60-40,田日 B 1200,好地,52,N,131,1181,潘,賀,8,- 2 2,3,1 1/4,1.09.22,辣得金,自己話事,▲,1.09.03,5.2
競駿天下,11/13/24,181,4 60-40,谷夜 BC 1200,好地,46,SW,121,1184,綸,希,9,- 7 7,3,頸,1.10.11,?路達飛,醒目先駒,▲,1.10.06,10
酷霸王,11/13/24,180,4 60-40,谷夜 BC 1200,好地,59,CT,135,1167,梁,姚,4,- 4 3,3,1/2,1.10.18,炯炯有神,真心傳奇,▲,1.10.08,7.8
極光彗星,11/13/24,179,4 60-40,谷夜 BC 1000,好地,58,SWT,134,1125,潘,黎,4,- 4 3,3,頸,0.57.28,知道長勝,精益大師,▲,0.57.23,7.9
超勁寶寶,11/13/24,178,4 60-40,谷夜 BC 1650,好地,45,B-T,121,1173,聲,廖,5,3 3 3,3,2 1/4,1.40.24,天天得樂,歡喜福星,▲,1.39.90,10
爆熱,11/13/24,177,4 60-40,谷夜 BC 1650,好地,57,T,134,1094,聲,伍,1,4 7 6,3,3 1/4,1.40.22,勝意,風起雲湧,▲,1.39.73,6
大登殿,11/13/24,176,5 40-0,谷夜 BC 2200,好地,40,V,134,980,潘,賀,6,6 6 5,3,1/2,2.16.87,竣誠駒,神煞金剛,▲,2.16.78,7.2
久久為尊,11/09/24,175,3 80-60,田日 A 1600,好快,70,SWT,125,1214,田,希,1,11 13 9,3,3/4,1.34.01,遨遊武士,豐盛,▲,1.33.89,10
風雲武士,11/09/24,174,3 80-60,田日 A 1200,好快,68,SW1,123,1113,田,希,3,- 5 4,3,1/2,1.08.64,耀寶,河好運,▲,1.08.55,9.4
川河型駒,11/09/24,173,4 60-40,田日 A 1400,好快,56,X1T,132,1073,禮,游,5,7 5 5,3,2,1.21.76,龍城強將,保羅傳奇,▲,1.21.43,12
飛鷹翱翔,11/09/24,172,2 105-80,田日 A 1400,好快,95,,125,1110,禮,伍,3,1 1 1,3,1 1/4,1.20.53,堅又威,包裝天將,▲,1.20.34,18
我為您,11/09/24,171,2 100-80,田日 A 1000,好地,80,,117,1169,禮,伍,8,- 1 3,3,2 1/2,0.56.76,魔術控制,氣勢,▲,0.56.36,30
天威,11/09/24,170,4 60-40,泥日  1650,好泥,49,SWT,126,1134,綸,羅,7,7 6 4,3,3,1.38.85,超旺財,連連歡呼,▲,1.38.37,6.3
盈益善,11/09/24,169,4 60-40,田日 A 2000,好地,58,XT,135,1102,澤,游,4,8 8 9,3,1 3/4,2.02.15,富喜來,慶萬家,▲,2.01.86,3.8
祥龍駒,11/09/24,168,4 60-40,田日 A 1200,好地,58,,134,1102,潘,伍,5,- 7 5,3,3/4,1.09.68,手錶之星,馬鳳凰,▲,1.09.54,6.5
準輝煌,11/09/24,167,4 60-40,田日 A 1200,好地,52,B,130,1138,度,姚,9,- 10 9,3,頸,1.09.77,嘉應奇兵,至尊高超,▲,1.09.71,6.9
喜悅一生,11/09/24,166,5 40-0,泥日  1650,好泥,22,BT,117,1175,田,鄭,8,10 10 9,3,2 1/2,1.39.18,閃耀威龍,天時明駒,▲,1.38.81,5.7
電訊巴打,11/06/24,165,2 100-80,谷夜 A 1650,好地,90,,130,1129,董,徐,3,1 1 1,3,3/4,1.39.59,超超比,港林福將,▲,1.39.47,20
同祥和順,11/06/24,164,3 80-60,谷夜 A 1200,好地,80,,135,1211,森,廖,1,- 1 1,3,3/4,1.09.62,勇敢巨星,超霸勝,▲,1.09.51,7.6
黑桃火箭,11/06/24,163,3 80-60,谷夜 A 1800,好地,66,XT,122,1161,度,柏,10,11 11 11,3,1 3/4,1.49.12,逐步贏,爭金奪冠,▲,1.48.84,7.9
砂漿金剛,11/06/24,162,4 60-40,谷夜 A 1200,好地,59,VT,131,1048,鍾,東,5,- 4 3,3,1 3/4,1.10.09,日馳千里,怡昌精神,▲,1.09.82,28
精益大師,11/06/24,161,4 60-40,谷夜 A 1200,好地,56,BT,124,1097,弘,葉,4,- 1 1,3,1 1/4,1.09.87,美麗緣分,勇霸龍,▲,1.09.66,10
北海盜,11/06/24,160,4 60-40,谷夜 A 1650,好地,58,,135,1143,潘,賀,1,5 5 7,3,1 1/2,1.40.44,大力猴王,得意佳作,▲,1.40.21,7.6
友誼喜悅,11/06/24,159,5 40-0,谷夜 A 1200,好地,31,B,124,1163,周,姚,7,- 10 10,3,3/4,1.10.35,鼓浪飛凡,宏才,▲,1.10.22,11
三代同心,11/06/24,158,5 40-0,谷夜 A 1200,好地,38,BT,133,1152,班,東,2,- 8 9,3,1 1/2,1.10.04,焦點,華麗活力,▲,1.09.80,7.6
宇宙動力,11/06/24,157,5 40-0,谷夜 A 1200,好地,39,B,131,1179,鍾,鄭,4,- 3 3,3,頸,1.09.95,極速之星,星火燎原,▲,1.09.90,4.8
同樣美麗,11/03/24,156,3 80-60,田日 C 1400,好快,73,T,130,1063,紹,東,3,6 5 5,3,1 1/4,1.21.96,遙遙領先,穿甲戰鷹,▲,1.21.76,8.3
紫荊歡呼,11/03/24,155,3 80-60,田日 C 1400,好快,66,SWT,124,1186,禮,希,4,5 5 5,3,3,1.21.82,祝願,信心星,▲,1.21.33,6.4
展雄威,11/03/24,154,3 80-60,田日 C 1200,好快,66,,124,1181,班,廖,1,- 3 3,3,2 3/4,1.09.27,輝煌精英,愛馬善,▲,1.08.81,5.5
禪勝輝煌,11/03/24,153,G3,田日 C 1800,好快,105,VX,121,1162,澤,呂,7,7 7 8,3,2 1/2,1.46.81,安騁,當年情,▲,1.46.41,6.6
卓越蒨鋒,11/03/24,152,4 60-40,田日 C 1400,好快,47,BT,122,1024,田,黎,5,8 10 8,3,3/4,1.22.23,昭易搵,一定掂,▲,1.22.12,69
但求開心,11/03/24,151,4 60-40,田日 C 1400,好快,54,T,130,1229,梁,巫,8,11 11 8,3,1/2,1.21.81,勇冠群英,皇仁歡星,▲,1.21.72,2.2
滿好世界,11/03/24,150,4 60-40,田日 C 1200,好快,52,,128,1127,聲,羅,4,- 6 5,3,3/4,1.09.58,糖不甩,健康快車,▲,1.09.47,10
神駒馬靈,11/03/24,149,4 60-40,田日 C 1600,好快,44,,120,1106,澤,伍,6,5 5 4,3,1 1/4,1.34.67,加州動員,連連歡呼,▲,1.34.48,3.8
好精神,11/03/24,148,4 60-40,田日 C 1200,好快,51,,125,1088,明,葉,1,- 5 5,3,1 1/2,1.09.20,增強,包裝福星,▲,1.08.94,6.3
滿載歸來,11/03/24,147,5 40-0,田日 C 1800,好地,33,BT,129,1199,梁,容,7,9 8 6,3,3 3/4,1.48.86,竣誠駒,永勝金駒,▲,1.48.27,8.4
開心寶寶,10/30/24,146,3 80-60,谷夜 C6 1200,好地,70,T,130,1132,潘,呂,8,- 1 2,3,3/4,1.09.80,鈁糖武士,駿步騰飛,▲,1.09.67,3.5
勁好運,10/30/24,145,3 80-60,谷夜 C6 1650,好地,62,T,120,1089,潘,羅,2,6 5 6,3,1 3/4,1.40.00,大千眼界,太陽勇士,▲,1.39.73,1.9
快樂奇兵,10/30/24,144,4 60-40,谷夜 C6 1200,好地,45,X-B1H,121,1048,田,賀,4,- 6 7,3,1 1/4,1.10.63,凱旋升,飛雲,▲,1.10.45,17
智勇名駒,10/30/24,143,4 60-40,谷夜 C6 1650,好地,53,SWT,129,1181,森,呂,5,1 1 1,3,3/4,1.40.73,川河首駒,香港神駒,▲,1.40.59,5
天分高,10/30/24,142,5 40-0,谷夜 C6 1000,好地,37,PHT,125,1039,弘,柏,11,- 3 4,3,3/4,0.57.66,勝萬金,花好月盈,▲,0.57.51,10
決一劍,10/30/24,141,4 60-40,谷夜 C6 1200,好地,52,,127,1137,聲,廖,8,- 3 3,3,1,1.10.27,添喜運,加州得力,▲,1.10.09,14
凱旋七福,10/30/24,140,5 40-0,谷夜 C6 1650,好地,31,BT,126,1110,班,韋,1,5 5 4,3,2,1.40.98,贏科超影,雄昇勇士,▲,1.40.66,12
喜勝威龍,10/30/24,139,4 60-40,谷夜 C6 1650,好地,42,BT,117,1121,田,希,7,3 2 2,3,頸,1.40.36,健康之星,獎星,▲,1.40.31,5.7
精算暴雪,10/27/24,138,2 100-80,谷日 C3 1200,好地,87,P,125,1099,艾,蔡,10,- 9 6,3,1/2,1.09.40,合夥奔馳,幸運遇見,▲,1.09.31,5.9
