馬匹,日期,場,班次,路程,場地,分,配備,磅,排位重,騎,練,檔,走位,名,距離,時間,冠,亚,季,頭馬,賠
競駿皇者,11/20/24,201,3 80-60,谷夜 C3 1200,好黏,74,T,134,1075,聲,游,3,- 5 4,8,3 1/4,1.10.70,得道猴王,伊臣,勇威神駒,1.10.17,5.5
友愛心得,11/20/24,201,3 80-60,谷夜 C3 1200,好黏,66,SW,126,1185,潘,希,9,- 3 3,12,7 1/4,1.11.33,得道猴王,伊臣,勇威神駒,1.10.17,7.7
金牌活力,11/20/24,201,3 80-60,谷夜 C3 1200,好黏,63,B,123,1147,湯,鄭,5,- 10 10,7,2 3/4,1.10.61,得道猴王,伊臣,勇威神駒,1.10.17,63.0
多利彩駒,11/20/24,201,3 80-60,谷夜 C3 1200,好黏,69,XT,129,1085,班,廖,6,- 4 5,9,3 1/2,1.10.72,得道猴王,伊臣,勇威神駒,1.10.17,6.3
無限美麗,11/20/24,201,3 80-60,谷夜 C3 1200,好黏,65,,125,1153,布,蔡,4,- 9 9,5,1 3/4,1.10.43,得道猴王,伊臣,勇威神駒,1.10.17,8.6
金運來,11/20/24,201,3 80-60,谷夜 C3 1200,好黏,60,XT,120,1102,森,文,12,- 2 2,6,2,1.10.47,得道猴王,伊臣,勇威神駒,1.10.17,28.0
多利神駒,11/20/24,201,3 80-60,谷夜 C3 1200,好黏,62,T,122,1034,禮,賢,7,- 11 11,4,1 1/4,1.10.38,得道猴王,伊臣,勇威神駒,1.10.17,35.0
金發盛世,11/20/24,201,3 80-60,谷夜 C3 1200,好黏,66,B,126,1067,澤,呂,8,- 6 8,10,3 1/2,1.10.72,得道猴王,伊臣,勇威神駒,1.10.17,36.0
寶賢得得,11/20/24,201,3 80-60,谷夜 C3 1200,好黏,75,T,128,1129,弘,柏,11,- 12 12,11,4 1/2,1.10.88,得道猴王,伊臣,勇威神駒,1.10.17,136.0
昇瀧駒,11/20/24,200,2 100-80,谷夜 C3 1200,好黏,82,,118,1188,班,廖,3,- 8 6,4,2 1/4,1.09.78,美麗奔馳,傑出漢子,精算暴雪,1.09.43,7.4
華麗再勝,11/20/24,200,2 100-80,谷夜 C3 1200,好黏,88,T,124,1160,麥,沈,8,- 7 7,5,2 1/4,1.09.80,美麗奔馳,傑出漢子,精算暴雪,1.09.43,9.4
占士德,11/20/24,200,2 100-80,谷夜 C3 1200,好黏,84,T1SW,120,1111,周,容,12,- 4 4,11,7,1.10.56,美麗奔馳,傑出漢子,精算暴雪,1.09.43,64.0
輝煌精英,11/20/24,200,2 100-80,谷夜 C3 1200,好黏,83,H,119,1220,梁,丁,10,- 2 2,8,4,1.10.06,美麗奔馳,傑出漢子,精算暴雪,1.09.43,9.3
幸運遇見,11/20/24,200,2 100-80,谷夜 C3 1200,好黏,91,,127,1122,禮,希,2,- 5 8,12,7 3/4,1.10.66,美麗奔馳,傑出漢子,精算暴雪,1.09.43,5.9
我為您,11/20/24,200,2 100-80,谷夜 C3 1200,好黏,80,,114,1166,明,伍,6,- 1 1,7,3 3/4,1.10.04,美麗奔馳,傑出漢子,精算暴雪,1.09.43,29.0
小霸王,11/20/24,200,2 100-80,谷夜 C3 1200,好黏,99,BT,132,1188,鍾,東,9,- 12 12,6,3 3/4,1.10.04,美麗奔馳,傑出漢子,精算暴雪,1.09.43,15.0
魅力寶駒,11/20/24,200,2 100-80,谷夜 C3 1200,好黏,92,,128,1197,度,蔡,5,- 9 11,9,4 1/2,1.10.16,美麗奔馳,傑出漢子,精算暴雪,1.09.43,28.0
